K_Value,Topic,TFIDF_acc_avg,TFIDF_pc_avg,TFIDF_rc_avg,TFIDF_f1_avg,TFIDF_fb15_avg,TFIDF_fb20_avg,TFIDF_fb25_avg,TFIDF_fb30_avg,TextRank_acc_avg,TextRank_pc_avg,TextRank_rc_avg,TextRank_f1_avg,TextRank_fb15_avg,TextRank_fb20_avg,TextRank_fb25_avg,TextRank_fb30_avg,LDA_acc_avg,LDA_pc_avg,LDA_rc_avg,LDA_f1_avg,LDA_fb15_avg,LDA_fb20_avg,LDA_fb25_avg,LDA_fb30_avg
1,Visually_impaired_mom,0.2,0.8,0.2,0.32,0.26,0.2353,0.223,0.2162,0,0,0,0,0,0,0,0,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703
1,Okmart_charity_event,0.1,0.5,0.1,0.1666,0.1326,0.119,0.1124,0.1087,0,0,0,0,0,0,0,0,0.175,0.875,0.175,0.2916,0.2321,0.2083,0.1967,0.1902
1,life_rebuild_event,0.0185,0.1667,0.0185,0.0333,0.0255,0.0225,0.0211,0.0203,0,0,0,0,0,0,0,0,0.0824,0.75,0.0824,0.1485,0.1135,0.1002,0.0939,0.0904
1,dark experience,0.0333,0.2,0.0333,0.0572,0.0448,0.04,0.0377,0.0364,0,0,0,0,0,0,0,0,0.1834,1,0.1834,0.3086,0.2444,0.2188,0.2064,0.1996
2,Visually_impaired_mom,0.16,0.4,0.2,0.2666,0.2364,0.2222,0.2148,0.2106,0,0,0,0,0,0,0,0,0.5,1,0.5,0.6667,0.5909,0.5556,0.537,0.5263
2,Okmart_charity_event,0.0833,0.25,0.1,0.1428,0.1226,0.1136,0.109,0.1064,0,0,0,0,0,0,0,0,0.2834,0.75,0.3,0.4286,0.368,0.3409,0.327,0.3192
2,life_rebuild_event,0.0259,0.125,0.0289,0.047,0.0379,0.0342,0.0324,0.0313,0,0,0,0,0,0,0,0,0.1886,0.8333,0.1926,0.3118,0.2518,0.2273,0.2153,0.2085
2,dark experience,0.0286,0.1,0.0333,0.05,0.0419,0.0385,0.0367,0.0357,0,0,0,0,0,0,0,0,0.3286,0.9,0.3333,0.4833,0.4117,0.3803,0.3644,0.3552
3,Visually_impaired_mom,0.1667,0.3333,0.25,0.2857,0.2708,0.2632,0.2589,0.2564,0,0,0,0,0,0,0,0,0.47,0.7334,0.55,0.6285,0.5959,0.5789,0.5697,0.5641
3,Okmart_charity_event,0.0714,0.1666,0.1,0.125,0.114,0.1087,0.1058,0.1042,0,0,0,0,0,0,0,0,0.3666,0.7084,0.425,0.5312,0.4846,0.462,0.4498,0.4427
3,life_rebuild_event,0.0235,0.0833,0.0289,0.0429,0.0362,0.0333,0.0318,0.0309,0,0,0,0,0,0,0,0,0.2948,0.8611,0.3027,0.4459,0.3771,0.3472,0.3321,0.3234
3,dark experience,0.0571,0.1333,0.0667,0.0889,0.0788,0.0741,0.0716,0.0702,0,0,0,0,0,0,0,0,0.4643,0.8667,0.4833,0.6159,0.5564,0.5283,0.5134,0.5047
4,Visually_impaired_mom,0.1429,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.4933,0.65,0.65,0.65,0.65,0.65,0.65,0.65
4,Okmart_charity_event,0.0625,0.125,0.1,0.1111,0.1066,0.1042,0.1028,0.102,0,0,0,0,0,0,0,0,0.4464,0.6875,0.55,0.6111,0.586,0.5729,0.5656,0.5612
4,life_rebuild_event,0.0215,0.0625,0.0289,0.0395,0.0346,0.0324,0.0312,0.0306,0,0,0,0,0,0,0,0,0.3668,0.8333,0.3863,0.5256,0.4613,0.4319,0.4166,0.4078
4,dark experience,0.05,0.1,0.0667,0.08,0.0743,0.0714,0.0699,0.069,0,0,0,0,0,0,0,0,0.5224,0.8,0.5833,0.67,0.6329,0.6143,0.6042,0.5983
5,Visually_impaired_mom,0.1571,0.24,0.3,0.2666,0.2785,0.2857,0.29,0.2927,0,0,0,0,0,0,0,0,0.4571,0.56,0.7,0.6222,0.65,0.6667,0.6767,0.6829
5,Okmart_charity_event,0.0556,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.3839,0.55,0.55,0.55,0.55,0.55,0.55,0.55
5,life_rebuild_event,0.0198,0.05,0.0289,0.0366,0.0332,0.0316,0.0307,0.0302,0,0,0,0,0,0,0,0,0.4195,0.7833,0.4502,0.5694,0.5164,0.4911,0.4776,0.4697
5,dark experience,0.0444,0.08,0.0667,0.0727,0.0703,0.069,0.0682,0.0678,0,0,0,0,0,0,0,0,0.5178,0.72,0.65,0.6788,0.6663,0.6601,0.6568,0.6548
6,Visually_impaired_mom,0.1389,0.2,0.3,0.24,0.26,0.2727,0.2807,0.2857,0,0,0,0,0,0,0,0,0.4881,0.5333,0.8,0.64,0.6933,0.7273,0.7484,0.7619
6,Okmart_charity_event,0.05,0.0833,0.1,0.0909,0.0942,0.0962,0.0973,0.098,0,0,0,0,0,0,0,0,0.4787,0.5834,0.7,0.6364,0.6594,0.673,0.6812,0.6863
6,life_rebuild_event,0.0243,0.0556,0.0382,0.0452,0.0422,0.0407,0.0399,0.0394,0.0119,0.0278,0.0185,0.0222,0.0206,0.0198,0.0194,0.0192,0.4931,0.7778,0.5338,0.6308,0.5891,0.5684,0.5571,0.5505
6,dark experience,0.0582,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.4524,0.6,0.65,0.62,0.63,0.6364,0.6403,0.6429
7,Visually_impaired_mom,0.1244,0.1715,0.3,0.2182,0.2438,0.2609,0.2719,0.2791,0,0,0,0,0,0,0,0,0.423,0.4571,0.8,0.5818,0.65,0.6957,0.725,0.7442
7,Okmart_charity_event,0.0454,0.0714,0.1,0.0833,0.089,0.0926,0.0948,0.0962,0,0,0,0,0,0,0,0,0.4744,0.5357,0.75,0.625,0.6678,0.6944,0.7108,0.7211
7,life_rebuild_event,0.0389,0.0834,0.065,0.073,0.0697,0.068,0.067,0.0665,0.0111,0.0238,0.0185,0.0208,0.0199,0.0194,0.0191,0.0189,0.5135,0.7262,0.5801,0.6427,0.6166,0.6032,0.5957,0.5913
7,dark experience,0.0897,0.1429,0.1833,0.1595,0.1675,0.1725,0.1757,0.1777,0,0,0,0,0,0,0,0,0.4305,0.5428,0.6834,0.6014,0.6292,0.6466,0.6573,0.6642
8,Visually_impaired_mom,0.1127,0.15,0.3,0.2,0.2294,0.25,0.2636,0.2727,0,0,0,0,0,0,0,0,0.3733,0.4,0.8,0.5333,0.6118,0.6667,0.703,0.7273
8,Okmart_charity_event,0.0416,0.0625,0.1,0.0769,0.0844,0.0893,0.0924,0.0944,0,0,0,0,0,0,0,0,0.4715,0.5156,0.825,0.6346,0.6964,0.7366,0.762,0.7783
8,life_rebuild_event,0.0365,0.0729,0.065,0.0687,0.0672,0.0664,0.066,0.0657,0.0208,0.0417,0.037,0.0392,0.0383,0.0379,0.0376,0.0374,0.5186,0.6875,0.6347,0.6571,0.6475,0.6427,0.6401,0.6385
8,dark experience,0.0823,0.125,0.1833,0.1476,0.1592,0.1667,0.1714,0.1745,0,0,0,0,0,0,0,0,0.3867,0.475,0.6834,0.5571,0.5985,0.625,0.6417,0.6525
9,Visually_impaired_mom,0.103,0.1333,0.3,0.1846,0.2166,0.24,0.2559,0.2666,0,0,0,0,0,0,0,0,0.3341,0.3555,0.8,0.4923,0.5777,0.64,0.6823,0.7111
9,Okmart_charity_event,0.0384,0.0556,0.1,0.0714,0.0802,0.0862,0.09,0.0926,0,0,0,0,0,0,0,0,0.4778,0.5,0.9,0.6428,0.7222,0.7758,0.8106,0.8333
9,life_rebuild_event,0.0343,0.0648,0.065,0.0649,0.0649,0.0649,0.065,0.065,0.0245,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.0463,0.5183,0.6482,0.6718,0.657,0.6617,0.6649,0.6669,0.6681
