K_Value,Text_Num,Topic,TFIDF_acc,TFIDF_pc,TFIDF_rc,TFIDF_f1,TFIDF_fb15,TFIDF_fb20,TFIDF_fb25,TFIDF_fb30,TextRank_acc,TextRank_pc,TextRank_rc,TextRank_f1,TextRank_fb15,TextRank_fb20,TextRank_fb25,TextRank_fb30,LDA_acc,LDA_pc,LDA_rc,LDA_f1,LDA_fb15,LDA_fb20,LDA_fb25,LDA_fb30
1,96,Visually_impaired_mom,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703,0,0,0,0,0,0,0,0,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703
1,97,Visually_impaired_mom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703
1,98,Visually_impaired_mom,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703,0,0,0,0,0,0,0,0,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703
1,101,Visually_impaired_mom,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703,0,0,0,0,0,0,0,0,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703
1,107,Visually_impaired_mom,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703,0,0,0,0,0,0,0,0,0.25,1,0.25,0.4,0.325,0.2941,0.2788,0.2703
1,128,Okmart_charity_event,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,129,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174
1,130,Okmart_charity_event,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174,0,0,0,0,0,0,0,0,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174
1,131,Okmart_charity_event,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174,0,0,0,0,0,0,0,0,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174
1,132,Okmart_charity_event,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174,0,0,0,0,0,0,0,0,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174
1,133,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174
1,134,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174
1,135,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174
1,244,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111,1,0.1111,0.2,0.1529,0.1351,0.1266,0.1219
1,245,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0.1,0.1818,0.1383,0.122,0.1142,0.1099
1,246,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111,1,0.1111,0.2,0.1529,0.1351,0.1266,0.1219
1,247,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111,1,0.1111,0.2,0.1529,0.1351,0.1266,0.1219
1,248,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,249,life_rebuild_event,0.1111,1,0.1111,0.2,0.1529,0.1351,0.1266,0.1219,0,0,0,0,0,0,0,0,0.1111,1,0.1111,0.2,0.1529,0.1351,0.1266,0.1219
1,250,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111,1,0.1111,0.2,0.1529,0.1351,0.1266,0.1219
1,251,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
